current_content,label1,label2
那先确认一下，您跟这个张先生，就是7月7号结婚吗？对，登记上，所以就是这个时间7月7号，后来小朋友出,Chapter重要事件下的Section结婚,Chapter重要事件下的Section结婚
来小朋友出生，然后原本是住婆家。那住哪邊?佛家是哪一個?民生路？那您提到是說原本在那邊住，所以你們有,Chapter重要事件下的Section怀孕,Chapter重要事件下的Section居住情况
所以你們有搬出來，但沒有搬，就是你有搬，他沒有搬，是這個情況嗎？?原本說好一起搬出來，後來，因為他來,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section居住情况
，因為他來，可是他。就是说嘴上说要帮忙整理，可是实际上没有行动，变成是我一个人在整理。对，那实际上你,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section居住情况
那实际上你也并没有对他，也并没有真的搬过来。对，好，然后那他为什么？因为离婚就是坦白说时间并不正常，,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section搬家情况
并不正常，他突然很想有跟你提离婚。为什么会提这个事情，他觉得我没有体量他对。然后再来就是他觉得在金钱,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section提离婚
觉得在金钱上面压力很大，经济压力上面很大，没有体谅。他是什么意思？他就说因为像在他们家的时候，因为他,Chapter重要事件下的Section提离婚,Chapter财产状况下的Section双方财产关系
候，因为他们家环境真的。很糟是怎麼說妳提到說，我的東西根本就沒有地方放還放在走廊上，甚至他的房間根本,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
的房間根本也沒有地方可以放嬰兒床，然後我去了他家之後不是感冒，不然就是因為那時候懷孕後來又出血。然后,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section怀孕
出血。然后身上就是长一颗一颗的东西，就是疹子这样发炎之类的对，然后我又流鼻血。对，就是在那边我身体状,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
出血。然后身上就是长一颗一颗的东西，就是疹子这样发炎之类的对，然后我又流鼻血。对，就是在那边我身体状,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
边我身体状况变得非常糟，是对那像洗澡。只能到她媽媽房間，因為她媽媽房間有熱水對。然後外面的廁所是冷水,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
廁所是冷水，可是她媽媽早上時間在睡，上午的時間都是在睡覺的。我根本進去，她就說進去洗沒有差。可是很不,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
。可是很不好意思，也覺得很奇怪啦。可是我發現，我好像就有吵到他媽媽他媽媽有感覺有動靜。所以我當然不敢,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
